lon,lat
-121.937446,36.638203
-121.938326,36.63791
-121.9395,36.636443
-121.939793,36.634683
-121.94038,36.633803
-121.940087,36.631163
-121.9395,36.629403
-121.939793,36.629109
-121.94214,36.628229
-121.94302,36.627643
-121.943607,36.626763
-121.942727,36.625589
-121.94302,36.625002
-121.9439,36.623242
-121.94478,36.622069
-121.94478,36.618255
-121.948007,36.615028
-121.949181,36.611801
-121.950354,36.611508
-121.951234,36.610921
-121.952994,36.610921
-121.953581,36.610921
-121.955048,36.611801
-121.955634,36.611801
-121.957101,36.611508
-121.957688,36.611215
-121.958861,36.610628
-121.960035,36.609748
-121.961208,36.608281
-121.961208,36.606814
-121.961795,36.605934
-121.962088,36.605054
-121.962675,36.604174
-121.962968,36.603001
-121.963555,36.602414
-121.963848,36.600067
-121.964435,36.598894
-121.963555,36.597134
-121.963555,36.59596
-121.964728,36.593907
-121.966195,36.59244
-121.966195,36.588626
-121.966488,36.58804
-121.967075,36.587746
-121.967662,36.585693
-121.967662,36.584813
-121.968249,36.584519
-121.968835,36.584226
-121.970302,36.584226
-121.971182,36.584813
-121.972062,36.585106
-121.973529,36.585106
-121.975582,36.583933
-121.977049,36.582466
-121.977636,36.582466
-121.977636,36.582466
-121.977636,36.582466
-121.978809,36.582173
-121.979983,36.581293
-121.980276,36.580413
-121.980276,36.580119
-121.976756,36.576306
-121.976169,36.575132
-121.975289,36.574252
-121.974996,36.573079
-121.973529,36.571612
-121.973236,36.570732
-121.972649,36.569852
-121.972649,36.568972
-121.972062,36.568385
-121.970889,36.568385
-121.970009,36.567798
-121.968249,36.567505
-121.967368,36.566625
-121.966195,36.566625
-121.965315,36.566038
-121.963848,36.565451
-121.962381,36.564278
-121.960621,36.564278
-121.959448,36.563691
-121.955928,36.560171
-121.954168,36.560171
-121.953581,36.559291
-121.952994,36.559291
-121.951821,36.559291
-121.950941,36.560171
-121.949767,36.560464
-121.949474,36.561051
-121.949181,36.565158
-121.948594,36.565158
-121.94742,36.565158
-121.94654,36.564278
-121.942727,36.564278
-121.942727,36.563691
-121.942433,36.561931
-121.94214,36.561051
-121.941847,36.560464
-121.940673,36.560171
-121.93862,36.560171
-121.937153,36.561051
-121.93598,36.561051
-121.934806,36.559584
-121.933926,36.558704
-121.932753,36.556064
-121.932459,36.554597
-121.931873,36.553131
-121.930993,36.551957
-121.930993,36.548437
-121.931286,36.547263
-121.931579,36.54697
-121.933046,36.546677
-121.933926,36.545503
-121.934513,36.544623
-121.934219,36.539343
-121.933339,36.537876
-121.932459,36.537583
-121.930699,36.537583
-121.929232,36.535823
-121.929526,36.534943
-121.928646,36.533182
-121.928646,36.532302
-121.927472,36.531129
-121.927766,36.527902
-121.927179,36.526435
-121.928352,36.525262
-121.928352,36.525262
-121.930406,36.524969
-121.933633,36.525262
-121.934513,36.524969
-121.935686,36.524382
-121.936566,36.524969
-121.93774,36.524969
-121.93862,36.524382
-121.93862,36.522328
-121.939206,36.522035
-121.9395,36.521742
-121.94038,36.522622
-121.94214,36.522622
-121.94302,36.521742
-121.9439,36.522622
-121.94478,36.522915
-121.94566,36.523502
-121.946247,36.523502
-121.947127,36.524088
-121.950941,36.524382
-121.952407,36.524969
-121.955048,36.525262
-121.955634,36.524969
-121.956221,36.524088
-121.955928,36.520568
-121.955048,36.519688
-121.955048,36.517341
-121.954754,36.516755
-121.953287,36.516755
-121.950941,36.514114
-121.950354,36.514114
-121.950061,36.513234
-121.949767,36.512941
-121.949181,36.512648
-121.9483,36.512354
-121.94742,36.511768
-121.946834,36.511768
-121.945954,36.510888
-121.94478,36.510594
-121.943607,36.509421
-121.943313,36.508834
-121.943313,36.507367
-121.94126,36.504727
-121.940967,36.502967
-121.94126,36.50062
-121.941553,36.500327
-121.941553,36.49974
-121.94126,36.499447
-121.940087,36.499153
-121.93862,36.498273
-121.939793,36.49798
-121.940087,36.497687
-121.94038,36.4971
-121.940673,36.496807
-121.941553,36.49622
-121.94214,36.495633
-121.94214,36.49534
-121.9439,36.494753
-121.946247,36.4927
-121.94654,36.492113
-121.94654,36.491526
-121.945074,36.490059
-121.944487,36.490059
-121.943607,36.489473
-121.942727,36.488299
-121.942433,36.485659
-121.941847,36.484779
-121.941553,36.483019
-121.940087,36.481552
-121.9395,36.480085
-121.939206,36.476565
-121.938326,36.475392
-121.93862,36.474512
-121.93774,36.473045
-121.937446,36.471578
-121.937153,36.471285
-121.936566,36.469525
-121.93598,36.469231
-121.935099,36.469231
-121.934513,36.468938
-121.933926,36.467764
-121.930993,36.465124
-121.930406,36.464831
-121.930112,36.463364
-121.929526,36.462777
-121.929526,36.461897
-121.927766,36.460137
-121.927766,36.459257
-121.927766,36.457497
-121.927179,36.45691
-121.926886,36.455737
-121.928939,36.45427
-121.929819,36.453977
-121.930406,36.45339
-121.930112,36.448403
-121.929526,36.447523
-121.928059,36.44723
-121.927766,36.446643
-121.927766,36.445763
-121.926886,36.444883
-121.926886,36.444003
-121.925125,36.442243
-121.925125,36.440189
-121.924832,36.439309
-121.923659,36.439016
-121.923365,36.438136
-121.922779,36.437256
-121.922485,36.436376
-121.921899,36.435789
-121.921605,36.433442
-121.921018,36.432269
-121.920432,36.431682
-121.920138,36.429922
-121.919258,36.429335
-121.918085,36.429042
-121.917792,36.428162
-121.917205,36.427282
-121.916031,36.425815
-121.916031,36.422588
-121.916325,36.419948
-121.918672,36.417601
-121.918672,36.417307
-121.918672,36.416721
-121.917792,36.415841
-121.918672,36.414961
-121.918378,36.414667
-121.917792,36.413787
-121.917498,36.41056
-121.916912,36.409974
-121.916618,36.408507
-121.916325,36.408213
-121.916031,36.407333
-121.915445,36.406453
-121.915151,36.402346
-121.914565,36.40176
-121.913391,36.40176
-121.912805,36.401173
-121.911631,36.400586
-121.909284,36.399413
-121.908991,36.399119
-121.908111,36.398826
-121.906937,36.397946
-121.906351,36.396186
-121.906057,36.395306
-121.904884,36.392959
-121.904297,36.392372
-121.905177,36.391786
-121.905471,36.391199
-121.905177,36.388852
-121.904297,36.387972
-121.903711,36.386505
-121.903711,36.381812
-121.904297,36.380638
-121.905471,36.379758
-121.905471,36.379171
-121.906057,36.378291
-121.906057,36.377411
-121.906644,36.377118
-121.906937,36.376825
-121.907818,36.375064
-121.907818,36.373598
-121.907818,36.372718
-121.907231,36.371838
-121.906644,36.371251
-121.904884,36.370957
-121.904297,36.370077
-121.904297,36.368317
-121.903711,36.367144
-121.903711,36.364504
-121.904004,36.363624
-121.904591,36.36333
-121.905764,36.36333
-121.906057,36.36245
-121.906057,36.360983
-121.905471,36.360103
-121.905764,36.359517
-121.906937,36.358637
-121.907524,36.356876
-121.907524,36.356583
-121.907231,36.355996
-121.906057,36.355703
-121.905764,36.35365
-121.904591,36.35277
-121.904004,36.352476
-121.903417,36.352476
-121.903124,36.352183
-121.899604,36.348663
-121.898724,36.346902
-121.897843,36.346022
-121.897257,36.344556
-121.896377,36.343676
-121.895203,36.343089
-121.89491,36.342209
-121.893737,36.340742
-121.893443,36.337515
-121.893737,36.336635
-121.894617,36.335462
-121.894617,36.331648
-121.895203,36.331061
-121.895497,36.329888
-121.896963,36.328421
-121.896963,36.327541
-121.896963,36.325194
-121.896083,36.323434
-121.896083,36.319034
-121.896377,36.316687
-121.89667,36.315807
-121.896963,36.313167
-121.897257,36.313167
-121.89843,36.3117
-121.898724,36.310233
-121.90019,36.308473
-121.900777,36.308473
-121.902537,36.309353
-121.903417,36.309353
-121.904297,36.308766
-121.904884,36.307886
-121.904591,36.307006
-121.903711,36.305833
-121.903124,36.304366
-121.902537,36.304073
-121.90195,36.304073
-121.901364,36.303779
-121.900484,36.302899
-121.899897,36.302606
-121.896963,36.302606
-121.896377,36.303193
-121.895203,36.303486
-121.89403,36.303193
-121.89315,36.302606
-121.89051,36.302606
-121.889336,36.302019
-121.887576,36.301726
-121.886403,36.300552
-121.886109,36.299086
-121.883176,36.296152
-121.882589,36.294685
-121.881122,36.293512
-121.879949,36.293219
-121.879069,36.292632
-121.878482,36.292632
-121.877895,36.292338
-121.877602,36.291752
-121.877602,36.290578
-121.875549,36.288818
-121.874962,36.288525
-121.874375,36.288525
-121.872615,36.286765
-121.871442,36.286471
-121.870855,36.285885
-121.869095,36.285885
-121.867628,36.285005
-121.867628,36.284125
-121.867041,36.283245
-121.865868,36.283245
-121.861761,36.279431
-121.861468,36.279138
-121.860001,36.279138
-121.859414,36.280018
-121.858241,36.280311
-121.855014,36.278551
-121.854427,36.278257
-121.85296,36.276791
-121.851787,36.276497
-121.8512,36.276204
-121.850907,36.275617
-121.850907,36.274737
-121.849733,36.273564
-121.84944,36.27327
-121.84944,36.272684
-121.849147,36.271804
-121.84768,36.27151
-121.8468,36.270924
-121.8468,36.26975
-121.846213,36.269457
-121.84592,36.268283
-121.845333,36.267697
-121.845333,36.266523
-121.842693,36.264176
-121.8424,36.263003
-121.841519,36.262416
-121.841226,36.26183
-121.841226,36.26095
-121.839466,36.259483
-121.839173,36.258016
-121.838586,36.257429
-121.838586,36.255669
-121.837999,36.255082
-121.837706,36.253909
-121.836826,36.253029
-121.836826,36.249215
-121.835652,36.247749
-121.832719,36.246869
-121.830959,36.246575
-121.829199,36.244815
-121.829199,36.243935
-121.826852,36.241588
-121.825678,36.241001
-121.823038,36.241001
-121.821571,36.239828
-121.819225,36.239828
-121.818638,36.239535
-121.818344,36.239241
-121.816878,36.238655
-121.816291,36.237775
-121.815998,36.237481
-121.815704,36.236308
-121.814531,36.234254
-121.813357,36.233961
-121.812477,36.233374
-121.810131,36.233374
-121.80925,36.232494
-121.80749,36.232494
-121.80661,36.231614
-121.806024,36.231614
-121.805437,36.231907
-121.80485,36.232494
-121.802797,36.232788
-121.801917,36.233374
-121.800743,36.233374
-121.797223,36.233374
-121.796636,36.233081
-121.795169,36.231907
-121.793996,36.231614
-121.792823,36.231614
-121.791943,36.231027
-121.790769,36.231027
-121.790182,36.230147
-121.789596,36.229854
-121.789009,36.228681
-121.788422,36.228387
-121.787249,36.228094
-121.786956,36.227507
-121.786369,36.227507
-121.784315,36.227801
-121.783729,36.22692
-121.783142,36.22692
-121.779622,36.22692
-121.777862,36.22516
-121.776688,36.224867
-121.774341,36.222814
-121.773755,36.22252
-121.771994,36.22252
-121.769354,36.221053
-121.768768,36.221053
-121.767887,36.220173
-121.766714,36.219293
-121.765541,36.219
-121.763487,36.216946
-121.762314,36.216653
-121.761727,36.215773
-121.759967,36.214893
-121.758207,36.213426
-121.75762,36.213426
-121.756153,36.212253
-121.755273,36.210493
-121.754393,36.210199
-121.748819,36.210199
-121.748233,36.209906
-121.747939,36.209613
-121.745886,36.208732
-121.745299,36.208439
-121.744419,36.207559
-121.741486,36.206386
-121.741192,36.206092
-121.740899,36.205212
-121.740312,36.204332
-121.739139,36.204039
-121.738259,36.202865
-121.737085,36.202572
-121.734445,36.202572
-121.731805,36.200519
-121.731805,36.199932
-121.730925,36.199345
-121.729165,36.199052
-121.728578,36.198465
-121.727991,36.198465
-121.725351,36.198465
-121.723884,36.197585
-121.722418,36.197292
-121.720951,36.195825
-121.720951,36.195825
-121.719777,36.195532
